"","Reported.Year","Property.ID..","Commercial.Property..Property.Street.Address","Building.Name","Total.SqFt","Category","Year.Built","kWh.sqft","Percentile.Rank","Received.Date","Site.EUI..kBTU.sqft.","Portfolio.Manager.SqFt","Total.Green.House.Gas.Emissions..MtCO2e.","Portfolio.Manager.Organization","GeoLocation","Submitted.Name.of.Organization","GeoLocation_clean","lat","long"
"103",2017,"811584","12319 N Mopac Exwy, Austin TX 78758","12319 N Mopac Exwy, Austin TX 78758",36244,"OFFICE LG > 35000","2011",23.45,NA,"",NA,NA,NA,NA,"12319 N Mopac
Austin, TX 78758
(30.414401, -97.706088)","Egret Property Management","30.414401, -97.706088",30.414401,-97.706088
"104",NA,"236510","223 W ANDERSON LA, AUSTIN TX, 78752","223 W Anderson Lane Building B",74543,"OFFICE LG > 35000","1971",NA,NA,"05/05/2017 12:00:00 AM",56.7,15846,NA,NA,"223 W ANDERSON LA
AUSTIN, TX 78752
(30.344268, -97.706314)","Blue Ocean Energy","30.344268, -97.706314",30.344268,-97.706314
"106",2017,"291772","2408 BUSINESS CENTER DR, AUSTIN TX, 78744","2408 BUSINESS CENTER DR, AUSTIN TX, 78744",4184,"CITY OF AUSTIN","1998",105.485,NA,"",NA,NA,NA,NA,"2408 BUSINESS CENTER DR
AUSTIN, TX 78744
(30.213239, -97.738833)","Austin Energy","30.213239, -97.738833",30.213239,-97.738833
"107",2017,"549353","13209 BURNET RD, AUSTIN TX, 78727","13209 BURNET RD, AUSTIN TX, 78727",36746,"OFFICE LG > 35000","1996",30.924,86.48,"",NA,NA,NA,NA,"13209 BURNET RD
AUSTIN, TX 78727
(30.433066, -97.699344)","Grand HP Ltd","30.433066, -97.699344",30.433066,-97.699344
"108",2017,"548006","2525 KRAMER LA, AUSTIN TX, 78758","2525 KRAMER LA, AUSTIN TX, 78758",47175,"INDUSTRIAL","1996",4.554,37.71,"",NA,NA,NA,NA,"2525 KRAMER LA
AUSTIN, TX 78758
(30.394269, -97.718331)","CBRE, Inc.","30.394269, -97.718331",30.394269,-97.718331
"109",2017,"283151","201 E MARY ST, AUSTIN TX, 78642","201 E MARY ST, AUSTIN TX, 78642",164602,"EDUCATIONAL FACILITY","1925",9.856,56.95,"",NA,NA,NA,NA,"201 E MARY ST
AUSTIN, TX 78642
(30.244802, -97.749965)","AISD","30.244802, -97.749965",30.244802,-97.749965
"111",2017,"586075","3407 WELLS BRANCH PKWY, AUSTIN TX, 78728","01970 - 01970-AUSTIN",14605,"STORE\GROCERY (W/sqft > 5)","2005",NA,NA,"04/04/2017 12:00:00 AM",101,14820,NA,NA,"3407 WELLS BRANCH PKWY
AUSTIN, TX 78728
(30.439916, -97.69614)","Walgreen CO.","30.439916, -97.69614",30.439916,-97.69614
"112",2017,"283162","1705 S CONGRESS AVE, AUSTIN TX, 78704","1705 S CONGRESS AVE, AUSTIN TX, 78704",6781,"CITY OF AUSTIN","1935",13.08,NA,"",NA,NA,NA,NA,"1705 S CONGRESS AVE
AUSTIN, TX 78704
(30.246944, -97.75066)","Austin Energy","30.246944, -97.75066",30.246944,-97.75066
"114",2017,"114928","1000 FOREST VIEW DR, AUSTIN TX, 78746","1000 FOREST VIEW DR, AUSTIN TX, 78746",420786,"CITY OF AUSTIN",".",89.94,94.83,"",NA,NA,NA,NA,"1000 FOREST VIEW DR
AUSTIN, TX 78746
(30.288276, -97.795842)","Austin Energy","30.288276, -97.795842",30.288276,-97.795842
"115",2017,"191081","2021 E 5 ST AUSTIN TX 78702","2021 E 5 ST AUSTIN TX 78702",31846,"OFFICE MED 10-35","2013",10.637,NA,"",NA,NA,NA,NA,"2021 E 5 ST
AUSTIN, TX 78702
(30.25973, -97.720281)","Endeavor Real Estate Group - IBC Bank Plaza","30.25973, -97.720281",30.25973,-97.720281
"116",2017,"203513","2203 SAN ANTONIO ST, AUSTIN TX, 78705","2203 SAN ANTONIO ST, AUSTIN TX, 78705",48000,"CONGREGATION FACILITY",".",6.523,28.21,"",NA,NA,NA,NA,"2203 SAN ANTONIO ST
AUSTIN, TX 78705
(30.285572, -97.74285)","University Presbyterian Church","30.285572, -97.74285",30.285572,-97.74285
"117",2017,"268468","12217 CASSADY DR Austin TX 78727","12217 CASSADY DR Austin TX 78727",19838,"CONGREGATION FACILITY","1987",4.849,15.38,"",NA,NA,NA,NA,"12217 CASSADY DR
Austin, TX 78727
(30.421114, -97.71964)","Milwood Baptist Church Office Card","30.421114, -97.71964",30.421114,-97.71964
"119",2017,"504160","1700 W PARMER LA, AUSTIN TX, 78727","1700 W PARMER LA, AUSTIN TX, 78727",63389,"RETAIL CENTER","2001",17.088,0.51,"",NA,NA,NA,NA,"1700 W PARMER LA
AUSTIN, TX 78727
(30.412512, -97.688909)","InvenTrust Properties","30.412512, -97.688909",30.412512,-97.688909
"120",2017,"262091","11149 RESEARCH BLVD, AUSTIN TX, 78759","11149 RESEARCH BLVD, AUSTIN TX, 78759",79157,"OFFICE LG > 35000","1985",0.522,3.42,"",NA,NA,NA,NA,"11149 RESEARCH BLVD
AUSTIN, TX 78759
(30.407341, -97.744759)","Austin Telco Federal Credit Union","30.407341, -97.744759",30.407341,-97.744759
"121",2017,"424598","6512 MCNEIL DR, AUSTIN TX, 78729","0472-Austin - McNeil Drive",62381,"WAREHOUSE","1997",NA,NA,"05/03/2017 12:00:00 AM",NA,57800,NA,NA,"6512 MCNEIL DR
AUSTIN, TX 78729
(30.439339, -97.75421)","Extra Space Storage","30.439339, -97.75421",30.439339,-97.75421
"125",2017,"256593","2305 DONLEY DR, AUSTIN TX, 78758","2305 DONLEY DR, AUSTIN TX, 78758",26868,"INDUSTRIAL","1984",8.78,68.33,"",NA,NA,NA,NA,"2305 DONLEY DR
AUSTIN, TX 78758
(30.38943, -97.715704)","Commerce Management Company","30.38943, -97.715704",30.38943,-97.715704
"126",2017,"206208","2400 LEON ST AUSTIN TX 78705","2400 LEON ST AUSTIN TX 78705",10306,"DORMITORY\RETIREMENT FACILITY","1952",16.364,NA,"",NA,NA,NA,NA,"2400 LEON ST
AUSTIN, TX 78705
(30.288566, -97.749295)","Beta Mu Building Co Inc.","30.288566, -97.749295",30.288566,-97.749295
"129",2017,"238501","1618 FUTURE DR, AUSTIN TX, 78754","1618 FUTURE DR, AUSTIN TX, 78754",10500,"WAREHOUSE","1972",1.894,17.14,"",NA,NA,NA,NA,"1618 FUTURE DR
AUSTIN, TX 78754
(30.343828, -97.674991)","Armstrong Real Estate Holdings LLC","30.343828, -97.674991",30.343828,-97.674991
"131",2017,"430709","9801 MANCHACA RD, AUSTIN TX, 78748","03724 - 03724-AUSTIN",13823,"STORE\GROCERY (W/sqft > 5)","1996",NA,NA,"04/04/2017 12:00:00 AM",120.3,13905,NA,NA,"9801 MANCHACA RD
AUSTIN, TX 78748
(30.174458, -97.82349)","Walgreen CO.","30.174458, -97.82349",30.174458,-97.82349
"133",2017,"256596","2105 DONLEY DR, AUSTIN TX, 78758","2105 DONLEY DR, AUSTIN TX, 78758",21700,"INDUSTRIAL","1982",10.915,87.5,"",NA,NA,NA,NA,"2105 DONLEY DR
AUSTIN, TX 78758
(30.38814, -97.712312)","Atlas Austin Industrial LP","30.38814, -97.712312",30.38814,-97.712312
"134",2017,"316340","201 INDUSTRIAL BLVD, AUSTIN TX,","201 INDUSTRIAL BLVD, AUSTIN TX,",8931,"","1970",4.369,NA,"",NA,NA,NA,NA,"201 INDUSTRIAL BLVD
AUSTIN, TX
(30.219403, -97.763589)","Live Oak","30.219403, -97.763589",30.219403,-97.763589
"136",2017,"312560","211 W ALPINE RD, AUSTIN TX, 78704","211 E. Alpine",48312,"INDUSTRIAL","1954",NA,NA,"05/23/2017 12:00:00 AM",NA,44575,NA,NA,"211 W ALPINE RD
AUSTIN, TX 78704
(30.228897, -97.762965)","Blue Ocean Energy","30.228897, -97.762965",30.228897,-97.762965
"138",2017,"772663","9215 S 1 ST AUSTIN TX 78748","1641-Austin - 1st Street OC",87205,"WAREHOUSE","2014",NA,NA,"05/24/2017 12:00:00 AM",NA,64305,NA,NA,"9215 S 1 ST
AUSTIN, TX 78748
(30.171684, -97.800382)","Extra Space Storage","30.171684, -97.800382",30.171684,-97.800382
"139",2017,"255500","11104 N LAMAR BLVD, AUSTIN TX, 78753","11104 N LAMAR BLVD, AUSTIN TX, 78753",17000,"WAREHOUSE","1979",6.781,53.65,"",NA,NA,NA,NA,"11104 N LAMAR BLVD
AUSTIN, TX 78753
(30.3804, -97.687241)","Austin Outdoor Power","30.3804, -97.687241",30.3804,-97.687241
"140",2017,"194454","201 E 6 ST Austin TX 78702","201 E 6 ST Austin TX 78702",20624,"RESTAURANT\BAR","1955",28.295,40.32,"",NA,NA,NA,NA,"201 E 6 ST
Austin, TX 78702
(30.267632, -97.741293)","201 E 6th Street LLC","30.267632, -97.741293",30.267632,-97.741293
"141",2017,"852692","11811 DOMAIN DR AUSTIN TX 78759","11811 DOMAIN DR AUSTIN TX 78759",63650,"RETAIL CENTER","2016",4.897,NA,"",NA,NA,NA,NA,"11811 DOMAIN DR
AUSTIN, TX 78759
(30.404888, -97.72286)","Domain Retail Property Owner LP","30.404888, -97.72286",30.404888,-97.72286
"143",2017,"302188","1400 S CONGRESS AVE, AUSTIN TX, 78704","1400 S CONGRESS AVE, AUSTIN TX, 78704",33990,"RETAIL CENTER","2006",2.733,7.97,"",NA,NA,NA,NA,"1400 S CONGRESS AVE
AUSTIN, TX 78704
(30.249767, -97.749603)","Live Oak","30.249767, -97.749603",30.249767,-97.749603
"144",2017,"255084","2012 CENTIMETER CIR, AUSTIN TX, 78758","2012 CENTIMETER CIR, AUSTIN TX, 78758",54000,"INDUSTRIAL","1980",0.594,3.33,"",NA,NA,NA,NA,"2012 CENTIMETER CIR
AUSTIN, TX 78758
(30.381274, -97.713603)","Stream Realty Partners","30.381274, -97.713603",30.381274,-97.713603
"145",2017,"547835","2600 MCHALE CT, AUSTIN TX, 78758","2600 MCHALE CT, AUSTIN TX, 78758",53480,"INDUSTRIAL","1985",12.203,61.04,"",NA,NA,NA,NA,"2600 MCHALE CT
AUSTIN, TX 78758
(30.385251, -97.722773)","PS Business Park","30.385251, -97.722773",30.385251,-97.722773
"146",2017,"R090399","12971 POND SPRINGS RD, AUSTIN TX, 78729","12971 POND SPRINGS RD, AUSTIN TX, 78729",28056,"AUTOMOTIVE SALES","2004",18.412,52.63,"",NA,NA,NA,NA,"12971 POND SPRINGS RD
AUSTIN, TX 78729
(30.43958, -97.772588)","Pormas Auto Property","30.43958, -97.772588",30.43958,-97.772588
"147",2017,"461035","12003 METRIC BLVD, AUSTIN TX, 78758","12003 METRIC BLVD, AUSTIN TX, 78758",34227,"DORMITORY\RETIREMENT FACILITY","1988",39.161,97.53,"",NA,NA,NA,NA,"12003 METRIC BLVD
AUSTIN, TX 78758
(30.402636, -97.70099)","Granite Investment Group","30.402636, -97.70099",30.402636,-97.70099
"148",2017,"316334","121 INDUSTRIAL BLVD, AUSTIN TX, 78745","109 Industrial",18340,"WAREHOUSE","1960",NA,NA,"04/10/2017 12:00:00 AM",NA,22488,NA,NA,"121 INDUSTRIAL BLVD
AUSTIN, TX 78745
(30.219831, -97.764509)","Blue Ocean Energy","30.219831, -97.764509",30.219831,-97.764509
"149",2017,"548257","11700 STONEHOLLOW DR, AUSTIN TX, 78758","11700 STONEHOLLOW DR, AUSTIN TX, 78758",96850,"INDUSTRIAL","1996",6.841,41.67,"",NA,NA,NA,NA,"11700 STONEHOLLOW DR
AUSTIN, TX 78758
(30.398897, -97.709287)","Stonehollow A LTD","30.398897, -97.709287",30.398897,-97.709287
"152",2017,"255067","10220 METROPOLITAN DR, AUSTIN TX, 78758","10220 METROPOLITAN DR, AUSTIN TX, 78758",72000,"INDUSTRIAL","1974",2.09,17.08,"",NA,NA,NA,NA,"10220 METROPOLITAN DR
AUSTIN, TX 78758
(30.383232, -97.717628)","Peloton Commercial Real Estate","30.383232, -97.717628",30.383232,-97.717628
"153",2017,"282684","1511 S CONGRESS AVE AUSTIN TX 78704","1511 S CONGRESS AVE AUSTIN TX 78704",37512,"CONGREGATION FACILITY","1968",0.565,NA,"",NA,NA,NA,NA,"1511 S CONGRESS AVE
AUSTIN, TX 78704
(30.248411, -97.750112)","The Church on Congress Avenue","30.248411, -97.750112",30.248411,-97.750112
"154",2017,"217760","1200 W 38 ST, AUSTIN TX, 78705","1200 W 38 ST, AUSTIN TX, 78705",62014,"RETAIL CENTER","1975",2.081,NA,"",NA,NA,NA,NA,"1200 W 38 ST
AUSTIN, TX 78705
(30.306075, -97.745039)","DT Land Group","30.306075, -97.745039",30.306075,-97.745039
"156",2017,"509363","2555 WESTERN TRAILS BLVD, AUSTIN TX, 78745","2555 WESTERN TRAILS BLVD, AUSTIN TX, 78745",13226,"MEDICAL FACILITY","1985",10.839,15.09,"",NA,NA,NA,NA,"2555 WESTERN TRAILS BLVD
AUSTIN, TX 78745
(30.229734, -97.798707)","Austin Medical Dental Assoc","30.229734, -97.798707",30.229734,-97.798707
"157",2017,"256623","1908 KRAMER LA, AUSTIN TX, 78758","1908 KRAMER LA, AUSTIN TX, 78758",58668,"INDUSTRIAL","1984",0.473,3.13,"",NA,NA,NA,NA,"1908 KRAMER LA
AUSTIN, TX 78758
(30.386978, -97.70673)","Endeavor Real Estate Group","30.386978, -97.70673",30.386978,-97.70673
"158",2017,"245897","2511 BUELL AVE, AUSTIN TX, 78757","2511 BUELL AVE, AUSTIN TX, 78757",15160,"AUTOMOTIVE SERVICE","1966",3.316,11.11,"",NA,NA,NA,NA,"2511 BUELL AVE
AUSTIN, TX 78757
(30.363944, -97.730592)","David Ihnen","30.363944, -97.730592",30.363944,-97.730592
"159",2017,"223580","2003 WHELESS LA, AUSTIN TX, 78723","2003 WHELESS LA, AUSTIN TX, 78723",16610,"STORE\GROCERY (W/sqft > 5)","1974",21.43,74.1,"",NA,NA,NA,NA,"2003 WHELESS LA
AUSTIN, TX 78723
(30.313828, -97.687693)","Greenleaf Wholesale Florist, Inc.","30.313828, -97.687693",30.313828,-97.687693
"160",2017,"206114","2501 LEON ST AUSTIN TX 78705","2501 LEON ST AUSTIN TX 78705",12187,"DORMITORY\RETIREMENT FACILITY","1970",20.885,NA,"",NA,NA,NA,NA,"2501 LEON ST
AUSTIN, TX 78705
(30.289818, -97.749191)","Sigma Alpha Mu Inc.","30.289818, -97.749191",30.289818,-97.749191
"162",2017,"229006","1033 LA POSADA DR, AUSTIN TX, 78752","1033 LA POSADA DR, AUSTIN TX, 78752",76115,"OFFICE LG > 35000","1982",17.093,67.47,"",NA,NA,NA,NA,"1033 LA POSADA DR
AUSTIN, TX 78752
(30.325521, -97.702029)","Boxer Property Management Corporation","30.325521, -97.702029",30.325521,-97.702029
"163",2017,"346130, 346133","2000 W SLAUGHTER LA, AUSTIN TX, 78748","2000 NEW SLAUGHTER LA, AUSTIN TX, 78748",87084,"RETAIL CENTER","1986",15.077,NA,"",NA,NA,NA,NA,"2000 W SLAUGHTER LA
AUSTIN, TX 78748
(30.17377, -97.824232)","Mimco, Inc.","30.17377, -97.824232",30.17377,-97.824232
"164",2017,"236510","223 W ANDERSON LA, AUSTIN TX, 78752","111 West Anderson Lane",74543,"OFFICE LG > 35000","1971",NA,NA,"04/20/2017 12:00:00 AM",58.6,44097,NA,NA,"223 W ANDERSON LA
AUSTIN, TX 78752
(30.344268, -97.706314)","Blue Ocean Energy","30.344268, -97.706314",30.344268,-97.706314
"165",2017,"568757, 568760","11300 SAMSUNG BLVD, AUSTIN TX, 78754","11300 SAMSUNG BLVD, AUSTIN TX, 78754",86625,"EDUCATIONAL FACILITY","2010",12.232,62.91,"",NA,NA,NA,NA,"11300 SAMSUNG BLVD
AUSTIN, TX 78754
(30.361418, -97.639371)","Manor ISd","30.361418, -97.639371",30.361418,-97.639371
"166",2017,"287611","1900 E OLTORF ST, AUSTIN TX, 78741","1900 E OLTORF ST, AUSTIN TX, 78741",16249,"RETAIL CENTER","1978",31.555,82.78,"",NA,NA,NA,NA,"1900 E OLTORF ST
AUSTIN, TX 78741
(30.231107, -97.735132)","Phan Bros. Inc.","30.231107, -97.735132",30.231107,-97.735132
"167",2017,"107091","1010 W 11 ST Austin TX 78703","1010 W 11 ST Austin TX 78703",13973,"WAREHOUSE","1965",8.699,75.24,"",NA,NA,NA,NA,"1010 W 11 ST
Austin, TX 78703
(30.276158, -97.752443)","Waterloo II Ltd","30.276158, -97.752443",30.276158,-97.752443
"170",2017,"199828","1300 LAVACA ST Austin TX 78701","1300 LAVACA ST Austin TX 78701",23430,"CONGREGATION FACILITY","1946",12.474,71.17,"",NA,NA,NA,NA,"1300 LAVACA ST
Austin, TX 78701
(30.276015, -97.742512)","First United Methodist Church","30.276015, -97.742512",30.276015,-97.742512
"171",2017,"513024","114 RALPH ABLANEDO DR, AUSTIN TX, 78748","114 RALPH ABLANEDO DR, AUSTIN TX, 78748",22998,"INDUSTRIAL","1972",5.851,44.79,"",NA,NA,NA,NA,"114 RALPH ABLANEDO DR
AUSTIN, TX 78748
(30.173486, -97.786656)","Wattinger","30.173486, -97.786656",30.173486,-97.786656
"172",2017,"443291","12900 DESSAU RD, AUSTIN TX, 78753","12900 DESSAU RD, AUSTIN TX, 78753",121200,"EDUCATIONAL FACILITY","2001",15.126,28.77,"",NA,NA,NA,NA,"12900 DESSAU RD
AUSTIN, TX 78753
(30.398176, -97.642067)","Pflugerville Independent School District","30.398176, -97.642067",30.398176,-97.642067
"174",2017,"442970","1000 KRAMER LA, AUSTIN TX, 78758","1000 Kramer Lane",32000,"INDUSTRIAL","2001",NA,NA,"04/13/2017 12:00:00 AM",23.8,32000,NA,NA,"1000 KRAMER LA
AUSTIN, TX 78758
(30.382151, -97.693027)","Blue Ocean Energy","30.382151, -97.693027",30.382151,-97.693027
"176",2017,"R074962","12871 RESEARCH BLVD, AUSTIN, TX  78759","12871 RESEARCH BLVD, AUSTIN, TX  78759",14048,"OFFICE MED 10-35","1986",6.286,NA,"",NA,NA,NA,NA,"12871 RESEARCH BLVD
AUSTIN, TX 78759
(30.435968, -97.772132)","BERKELEY2 ACADEMY LLC","30.435968, -97.772132",30.435968,-97.772132
"177",2017,"526901","12345 N LAMAR BLVD, AUSTIN TX, 78753","12345 N LAMAR BLVD, AUSTIN TX, 78753",115272,"OFFICE LG > 35000","2007",0.644,1.71,"",NA,NA,NA,NA,"12345 N LAMAR BLVD
AUSTIN, TX 78753
(30.404643, -97.678768)","Vista park Central LTD ETAL","30.404643, -97.678768",30.404643,-97.678768
"179",2017,"549489","2305 GARDENIA RD, AUSTIN TX, 78727","2305 GARDENIA RD, AUSTIN TX, 78727",3932,"CITY OF AUSTIN","1986",1.079,NA,"",NA,NA,NA,NA,"2305 GARDENIA RD
AUSTIN, TX 78727
(30.433716, -97.688723)","Austin Energy","30.433716, -97.688723",30.433716,-97.688723
"180",2017,"227626","2300 W NORTH LOOP BLVD, Austin, TX 78756","2300 W NORTH LOOP BLVD, Austin, TX 78756",98810,"DORMITORY\RETIREMENT FACILITY",".",12.308,29.63,"",NA,NA,NA,NA,"2300 W NORTH LOOP BLVD
Austin, TX 78756
(30.325208, -97.743191)","The Housing Authority of the City of Austin","30.325208, -97.743191",30.325208,-97.743191
"181",2017,"195917","1165 ANGELINA ST, AUSTIN TX, 78702","1165 ANGELINA ST, AUSTIN TX, 78702",30665,"CITY OF AUSTIN",".",21.9,65.52,"",NA,NA,NA,NA,"1165 ANGELINA ST
AUSTIN, TX 78702
(30.270157, -97.724565)","Austin Energy","30.270157, -97.724565",30.270157,-97.724565
"182",2017,"476563","1700 RIO GRANDE ST Austin TX 78701","1700 RIO GRANDE ST Austin TX 78701",10318,"OFFICE LG > 35000 (W/sqft > 5)","1999",23.73,75.49,"",NA,NA,NA,NA,"1700 RIO GRANDE ST
Austin, TX 78701
(30.280947, -97.745464)","The Johnson Center for Child Health & Development","30.280947, -97.745464",30.280947,-97.745464
"187",2017,"446029","2430 Cardinal Loop Austin TX 78617","2430 Cardinal Loop Austin TX 78617",9000,"CITY OF AUSTIN",".",5.762,NA,"",NA,NA,NA,NA,"2430 Cardinal Loop
Austin, TX 78617
(30.214141, -97.655112)","Austin Energy","30.214141, -97.655112",30.214141,-97.655112
"191",2017,"239661","8128 N LAMAR BLVD, AUSTIN TX, 78753","20407-Austin/8128 N. Lamar Blvd. I",53350,"MINI WAREHOUSE","1982",NA,NA,"05/17/2017 12:00:00 AM",3.2,53350,NA,NA,"8128 N LAMAR BLVD
AUSTIN, TX 78753
(30.350732, -97.709428)","Public Storage","30.350732, -97.709428",30.350732,-97.709428
"195",2017,"158148","11277 TAYLOR DRAPER LA, AUSTIN TX, 78759","11277 TAYLOR DRAPER LA, AUSTIN TX, 78759",161798,"DORMITORY\RETIREMENT FACILITY","1988",6.159,11.11,"",NA,NA,NA,NA,"11277 TAYLOR DRAPER LA
AUSTIN, TX 78759
(30.411675, -97.753386)","Renaissance - Austin","30.411675, -97.753386",30.411675,-97.753386
"196",2017,"255071","10503 METROPOLITAN DR, AUSTIN TX, 78758","10503 METROPOLITAN DR, AUSTIN TX, 78758",44894,"INDUSTRIAL (W/sqft > 3)","1994",23.591,83.96,"",NA,NA,NA,NA,"10503 METROPOLITAN DR
AUSTIN, TX 78758
(30.385677, -97.716932)","Manson Enterprises","30.385677, -97.716932",30.385677,-97.716932
"197",2017,"112356","1201 W 24TH ST, AUSTIN TX, 78705","1201 W 24TH ST, AUSTIN TX, 78705",11880,"OFFICE MED 10-35","1959",28.352,86.12,"",NA,NA,NA,NA,"1201 W 24TH ST
AUSTIN, TX 78705
(30.288386, -97.750723)","DT Land Group","30.288386, -97.750723",30.288386,-97.750723
"199",2017,"244292","2505 STECK AVE, AUSTIN TX, 78757","2505 STECK AVE, AUSTIN TX, 78757",10738,"CITY OF AUSTIN","2008",11.946,25.86,"",NA,NA,NA,NA,"2505 STECK AVE
AUSTIN, TX 78757
(30.362014, -97.729717)","Austin Energy","30.362014, -97.729717",30.362014,-97.729717
"200",2017,"255083","2000 CENTIMETER CIR, Austin, TX 78758","2000 CENTIMETER CIR, Austin, TX 78758",76500,"INDUSTRIAL","1978",12.717,62.5,"",NA,NA,NA,NA,"2000 CENTIMETER CIR
Austin, TX 78758
(30.381178, -97.713401)","Equitable Commercial Realty","30.381178, -97.713401",30.381178,-97.713401
"202",2017,"483298","1611 AIRPORT COMMERCE DR, AUSTIN TX, 78741","1611 AIRPORT COMMERCE DR, AUSTIN TX, 78741",105702,"MOTEL\HOTEL (W/sqft > 3)","2007",12.812,42.25,"",NA,NA,NA,NA,"1611 AIRPORT COMMERCE DR
AUSTIN, TX 78741
(30.221781, -97.689832)","ABH Hospitality","30.221781, -97.689832",30.221781,-97.689832
"203",2017,"R362154","12915 RESEARCH BLVD, AUSTIN, TX 78729","07002-Austin/183 & McNeil Rd.",87500,"WAREHOUSE","1996",NA,NA,"05/15/2017 12:00:00 AM",6.4,87500,NA,NA,"12915 RESEARCH BLVD
AUSTIN, TX 78729
(30.436432, -97.773061)","Public Storage","30.436432, -97.773061",30.436432,-97.773061
"204",2017,"307025","2409 S CONGRESS AVE, AUSTIN TX, 78704","2409 S Congress",33539,"RETAIL CENTER","1967",NA,NA,"05/19/2017 12:00:00 AM",35.5,32524,NA,NA,"2409 S CONGRESS AVE
AUSTIN, TX 78704
(30.238609, -97.753742)","Blue Ocean Energy","30.238609, -97.753742",30.238609,-97.753742
"205",2017,"196009","1144 AIRPORT BLVD, AUSTIN TX, 78702","02462 - 02462-AUSTIN",90080,"RETAIL CENTER","1963",NA,NA,"04/01/2017 12:00:00 AM",93.3,11865,NA,NA,"1144 AIRPORT BLVD
AUSTIN, TX 78702
(30.272293, -97.697526)","Walgreen CO.","30.272293, -97.697526",30.272293,-97.697526
"207",2017,"111181","1122 S CAPITAL OF TEXAS HWY, AUSTIN TX, 78746","1122 S CAPITAL OF TEXAS HWY, AUSTIN TX, 78746",129230,"OFFICE LG > 35000 (W/sqft > 5)","1997",59.846,93.49,"",NA,NA,NA,NA,"1122 S CAPITAL OF TEXAS HWY
AUSTIN, TX 78746
(30.28156, -97.82271)","DPF CityView LP","30.28156, -97.82271",30.28156,-97.82271
"208",2017,"575643","1106 W DITTMAR RD, AUSTIN TX, 78745","1106 W DITTMAR RD, AUSTIN TX, 78745",123989,"DORMITORY\RETIREMENT FACILITY","1965",2.414,6.17,"",NA,NA,NA,NA,"1106 W DITTMAR RD
AUSTIN, TX 78745
(30.185737, -97.804455)","Austin Auditors","30.185737, -97.804455",30.185737,-97.804455
"210",2017,"R070727","13497 RESEARCH BLVD, AUSTIN, TX  78750","13497 RESEARCH BLVD, AUSTIN, TX  78750",19000,"RETAIL CENTER","1985",26.892,NA,"",NA,NA,NA,NA,"13497 RESEARCH BLVD
AUSTIN, TX 78750
(30.4497, -97.790237)","Austin Horizon","30.4497, -97.790237",30.4497,-97.790237
"212",2017,"190302","1400 SMITH RD, AUSTIN TX, 78721","1400 SMITH RD, AUSTIN TX, 78721",31320,"INDUSTRIAL","1982",1.852,10.42,"",NA,NA,NA,NA,"1400 SMITH RD
AUSTIN, TX 78721
(30.257018, -97.678986)","WBH LTD Partnership","30.257018, -97.678986",30.257018,-97.678986
"213",2017,"256608","11006 METRIC BLVD, AUSTIN TX, 78758","11006 METRIC BLVD, AUSTIN TX, 78758",27345,"INDUSTRIAL","1982",10.468,65.21,"",NA,NA,NA,NA,"11006 METRIC BLVD
AUSTIN, TX 78758
(30.389389, -97.71009)","Stream Realty Partners","30.389389, -97.71009",30.389389,-97.71009
"214",2017,"723742","10515 N Mopac Expy, Austin, TX 78759","10515 N Mopac Expy, Austin, TX 78759",436144,"RETAIL CENTER","2008",24.27,69.23,"",NA,NA,NA,NA,"10515 N Mopac Expy
Austin, TX 78759
(30.392147, -97.733029)","simon property group","30.392147, -97.733029",30.392147,-97.733029
"218",2017,"255066","2209 RUTLAND DR, AUSTIN TX, 78758","2209 RUTLAND DR, AUSTIN TX, 78758",99675,"INDUSTRIAL","1991",5.336,51.04,"",NA,NA,NA,NA,"2209 RUTLAND DR
AUSTIN, TX 78758
(30.381504, -97.717781)","Live Oak","30.381504, -97.717781",30.381504,-97.717781
"219",2017,"303036","2101 S LAMAR BLVD, AUSTIN TX, 78704","2101 S LAMAR BLVD, AUSTIN TX, 78704",33944,"RETAIL CENTER","1970",22.719,68.12,"",NA,NA,NA,NA,"2101 S LAMAR BLVD
AUSTIN, TX 78704
(30.248277, -97.770494)","Carr Development, Inc.","30.248277, -97.770494",30.248277,-97.770494
"220",2017,"240704","1515 DUNGAN LA, AUSTIN TX, 78754","1515 DUNGAN LA, AUSTIN TX, 78754",27300,"INDUSTRIAL","1985",4.744,36.04,"",NA,NA,NA,NA,"1515 DUNGAN LA
AUSTIN, TX 78754
(30.351703, -97.673901)","richard dungan llc","30.351703, -97.673901",30.351703,-97.673901
"221",2017,"238511","1516 FERGUSON LN AUSTIN TX 78754","1516 FERGUSON LN AUSTIN TX 78754",14400,"WAREHOUSE","2016",3.255,NA,"",NA,NA,NA,NA,"1516 FERGUSON LN
AUSTIN, TX 78754
(30.345423, -97.675319)","Parks coffee","30.345423, -97.675319",30.345423,-97.675319
"222",2017,"786897","14400 THE LAKES BLVD AUSTIN TX 78660","14400 THE LAKES BLVD AUSTIN TX 78660",39684,"OFFICE LG > 35000 (W/sqft > 5)","2015",12.436,NA,"",NA,NA,NA,NA,"14400 THE LAKES BLVD
AUSTIN, TX 78660
(30.429877, -97.667952)","Peloton Commercial Real Estate","30.429877, -97.667952",30.429877,-97.667952
